Tom,4,5,3262,2,1
Robin,5,1,2174,1,2
John,3,8,4276,1,1
Sam,6,8,2145,2,2
William,0,3,2403,0,1
Aman,5,0,2055,2,1
Karan,6,3,4627,0,2
Varun,1,3,4773,2,1
Abhinay,3,7,2126,2,1
Arjun,7,9,3484,0,0
Brian,7,1,3055,1,1
Steven,9,5,3758,2,1
Harry,0,0,2125,0,2
Draco,2,7,2896,1,0
Ron,2,5,2052,0,0
Neville,1,9,4047,1,2
Chandler,7,8,4406,1,0
George,1,8,3977,2,2
Charlie,9,1,3253,0,0
Percy,3,4,3072,0,1
Bill,3,3,2430,0,1
Fred,2,4,2492,0,2
James,1,0,3579,2,0
Sirius,4,4,2539,1,0
Peter,1,3,3554,0,0
Daniel,8,4,3143,2,2
Arnold,5,0,2293,2,2
Steve,0,4,3410,0,2
Adam,5,6,2872,0,1
Alan,9,4,3452,1,2
Benedict,0,4,2473,0,0
Martin,6,9,3195,2,1
Anirudh,1,4,3482,1,2
Arthur,8,7,3498,0,1
Sid,9,3,2375,0,0
Albus,0,8,4508,1,0
Reginald,7,4,4160,0,2
Julian,8,1,2005,1,2
Ted,1,0,3214,1,1
Lee,7,4,3049,1,2
Jordan,2,7,3730,2,1
Seamus,2,7,4559,0,2
Dean,2,6,2374,2,2
Thomas,4,9,3747,0,0
Rupert,0,5,4726,1,0
Clark,3,9,2111,1,0
Bruce,1,3,3801,2,2
Barry,0,4,3284,2,2
Gary,2,9,4916,1,1
Albert,5,0,3454,2,2
John,4,4,4006,0,2
Hamish,6,3,2582,1,2
Harold,0,6,2715,1,2
Roy,7,6,3769,0,2
Joey,0,1,4412,2,2
Matt,2,7,3610,0,2
Jack,0,1,3927,2,0
Sean,6,8,4113,2,1
