Tom,0,4,2990,0,1
Robin,4,0,4261,2,0
John,7,0,3058,0,1
Sam,4,8,2657,0,1
William,9,1,2332,1,2
Aman,1,6,2914,2,1
Karan,3,1,4424,2,2
Varun,1,6,2436,2,1
Abhinay,3,0,2500,1,0
Arjun,7,2,2253,1,0
Brian,5,8,2332,2,1
Steven,4,5,3207,2,0
Harry,8,2,3917,0,1
Draco,6,6,3747,2,1
Ron,1,4,3554,1,1
Neville,2,3,3255,0,0
Chandler,0,1,3935,0,1
George,5,9,2493,0,0
Charlie,7,9,4866,2,2
Percy,0,0,4334,2,1
Bill,0,6,2796,2,2
Fred,3,0,3638,1,0
James,4,1,2444,0,0
Sirius,6,3,3008,1,2
Peter,3,7,2450,0,2
Daniel,9,7,4769,1,0
Arnold,9,9,3786,2,1
Steve,4,9,2309,2,1
Adam,5,3,3383,1,1
Alan,5,1,4479,0,1
Benedict,5,9,3570,2,1
Martin,3,9,4993,1,2
Anirudh,7,6,2650,2,2
Arthur,7,8,3590,2,2
Sid,5,5,4542,0,2
Albus,0,7,2526,1,1
Reginald,7,2,2882,2,0
Julian,9,4,4549,0,2
Ted,1,9,3738,0,2
Lee,4,3,4425,1,0
Jordan,6,7,3133,2,0
Seamus,9,3,2621,0,0
Dean,5,1,2281,2,2
Thomas,4,5,4482,0,1
Rupert,4,3,3990,0,2
Clark,8,2,2187,2,1
Bruce,8,7,4644,0,2
Barry,3,8,2966,0,0
Gary,4,1,3947,1,0
Albert,0,6,4257,2,1
John,7,9,2528,2,0
Hamish,5,4,3696,2,0
Harold,5,4,3931,1,2
Roy,1,4,2778,1,1
Joey,4,0,4186,2,1
Matt,6,8,3460,2,0
Jack,5,8,2560,2,2
Sean,7,5,2013,0,0
