Tom,7,7,3251,1,2
Robin,7,0,2391,2,2
John,2,2,2235,1,0
Sam,4,7,2397,2,0
William,5,7,3369,1,0
Aman,9,5,4268,1,0
Karan,2,9,2197,0,2
Varun,4,4,2195,1,2
Abhinay,3,8,4350,0,0
Arjun,2,9,3381,1,0
Brian,9,2,2642,0,0
Steven,8,9,4023,0,1
Harry,4,5,3465,2,1
Draco,1,8,2210,0,0
Ron,2,2,3767,1,0
Neville,2,0,3755,0,1
Chandler,4,5,2399,0,2
George,9,9,4302,0,2
Charlie,2,1,2949,0,2
Percy,9,7,4413,1,0
Bill,5,8,4972,2,2
Fred,3,3,2662,0,1
James,3,8,4287,1,0
Sirius,5,2,4278,2,1
Peter,7,0,4538,2,0
Daniel,9,7,3920,2,1
Arnold,3,3,2165,0,2
Steve,9,7,3096,2,1
Adam,7,0,4538,2,0
Alan,1,9,4943,1,2
Benedict,4,7,2186,0,1
Martin,6,4,2661,1,2
Anirudh,2,8,2998,0,1
Arthur,4,5,2355,0,1
Sid,1,0,2526,0,0
Albus,5,7,3394,1,1
Reginald,3,8,2080,2,1
Julian,2,4,2183,0,1
Ted,2,5,3680,2,2
Lee,1,4,2691,0,0
Jordan,0,4,3451,1,2
Seamus,5,1,4379,2,1
Dean,7,5,3148,2,1
Thomas,7,5,4873,2,0
Rupert,5,0,4868,0,0
Clark,7,3,2760,1,2
Bruce,9,8,3077,0,0
Barry,5,1,3287,0,2
Gary,8,9,3212,0,2
Albert,9,6,4491,1,1
John,3,8,2687,1,1
Hamish,0,9,3746,0,1
Harold,4,3,2916,2,0
Roy,7,2,3113,2,0
Joey,1,5,2315,1,1
Matt,3,2,2912,0,0
Jack,7,2,2813,1,1
Sean,1,8,3489,2,2
